id;año;aguas;region;cd_puerto;puerto_desembarque;mes;cd_especie;especie;toneladas;tipo_agente
1;2000;NAC;Tarapacá;101;Arica;1;205;Anchoveta;5100;Artesanal
2;2000;NAC;Tarapacá;101;Arica;1;205;Anchoveta;77588;Industrial
3;2000;NAC;Tarapacá;101;Arica;1;210;Ayanque;3;Artesanal
4;2000;NAC;Tarapacá;101;Arica;1;217;Bacalao de Profundidad;9;Artesanal
5;2000;NAC;Tarapacá;101;Arica;1;415;Caracol Locate;12;Artesanal
6;2000;NAC;Tarapacá;101;Arica;1;234;Jurel;62;Artesanal
7;2000;NAC;Tarapacá;101;Arica;1;234;Jurel;5447;Industrial
8;2000;NAC;Tarapacá;101;Arica;1;236;LenguadoDe Ojos Chicos;2;Artesanal
9;2000;NAC;Tarapacá;101;Arica;1;254;Palometa;10;Artesanal
10;2000;NAC;Tarapacá;101;Arica;1;490;Pulpo sin identificar;1;Artesanal
11;2000;NAC;Tarapacá;101;Arica;1;271;Rococo;3;Artesanal
12;2000;NAC;Tarapacá;101;Arica;1;272;Roncacho, Pocha o Corvinilla;3;Artesanal
13;2000;NAC;Tarapacá;101;Arica;1;278;Sardina española;269;Artesanal
14;2000;NAC;Tarapacá;101;Arica;1;278;Sardina española;3;Industrial
15;2000;NAC;Tarapacá;101;Arica;1;280;Sargo;3;Artesanal
16;2000;NAC;Tarapacá;101;Arica;1;284;Tiburon O Marrajo dentudo;4;Artesanal
17;2000;NAC;Tarapacá;101;Arica;2;205;Anchoveta;3298;Artesanal
18;2000;NAC;Tarapacá;101;Arica;2;205;Anchoveta;16606;Industrial
19;2000;NAC;Tarapacá;101;Arica;2;217;Bacalao de Profundidad;1;Artesanal
20;2000;NAC;Tarapacá;101;Arica;2;218;Caballa;204;Industrial
21;2000;NAC;Tarapacá;101;Arica;2;415;Caracol Locate;62;Artesanal
22;2000;NAC;Tarapacá;101;Arica;2;234;Jurel;41;Artesanal
23;2000;NAC;Tarapacá;101;Arica;2;234;Jurel;911;Industrial
24;2000;NAC;Tarapacá;101;Arica;2;268;Raya volantín;2;Artesanal
25;2000;NAC;Tarapacá;101;Arica;2;278;Sardina española;488;Artesanal
26;2000;NAC;Tarapacá;101;Arica;2;278;Sardina española;882;Industrial
27;2000;NAC;Tarapacá;101;Arica;3;205;Anchoveta;1402;Artesanal
